,$\mu$,$\lambda$,"$
u_1$","$
u_2$","$
u_3$",$k$,$M$
0,1.0601986586064394,1.1751193849094084,4.223309117420953,1.9549820339497233,0.668441761974325,"[1.         0.99993739 0.9997492  0.99943444 0.99899731 0.99843232
 0.99774104 0.9969192  0.99596993 0.99488997 0.99368266 0.99234074
 0.99086007 0.98924358 0.98749323 0.98559342 0.98355442 0.98136707
 0.97903284 0.97651911]","[  0.          12.91282963  25.85718583  38.86480897  51.9628891
  65.18383864  78.55381202  92.10379358 105.85325616 119.82761883
 134.03797814 148.51252505 163.27285379 178.32102019 193.65510996
 209.3161352  225.27265562 241.54242016 258.10634545 275.05120662]"
1,0.9348996008866122,0.6788775044497135,-4.56012330563669,-5.4331763895309475,1.9555886313475703,"[1.         1.00002267 1.00009301 1.00021683 1.00031963 1.00045459
 1.00068063 1.00096763 1.00117824 1.00146164 1.00178117 1.00215228
 1.00254832 1.00302365 1.00356937 1.0041982  1.0049258  1.00577153
 1.00680485 1.00800647]","[  0.          11.3698155   22.66584437  33.81399988  44.79313421
  55.53092886  65.92813843  75.95378542  85.71207837  95.02993037
 103.91568619 112.32743198 120.27242765 127.66215324 134.48605722
 140.70728204 146.28537107 151.17526479 155.23338578 158.48289836]"
2,0.9027251708801907,1.0771643381628029,5.432703463736685,1.7861484541276456,-2.2312374873680367,"[1.         0.99999182 0.99996725 0.99992614 0.99986861 0.99979422
 0.99971582 0.99961835 0.99950941 0.99939061 0.99926383 0.99911018
 0.99895993 0.99880187 0.99863644 0.99849671 0.99833793 0.99815528
 0.99798624 0.99784448]","[  0.          10.98945044  21.97323222  32.9455974   43.9006218
  54.83215673  65.73000288  76.59046766  87.40357098  98.15998082
 108.84943349 119.47068856 129.99924833 140.4284823  150.74580482
 160.91951401 170.96022671 180.85675343 190.57198872 200.08157554]"
3,1.0211497014440478,1.7276263314291054,2.6555740326477366,1.7441045443257197,1.669545876138983,"[1.         0.99992952 0.99971777 0.99936379 0.99886836 0.99822796
 0.99744147 0.99650664 0.99542079 0.99417822 0.99277819 0.9912149
 0.9894831  0.98757676 0.98549316 0.98321929 0.98074905 0.97806976
 0.97517461 0.97204898]","[  0.          12.43572525  24.89276439  37.39245106  49.95464155
  62.60066214  75.34976853  88.22068025 101.23098534 114.39561032
 127.74042052 141.26616662 154.98976301 168.92130197 183.06027031
 197.42154837 212.00167255 226.80497382 241.81564167 257.02625873]"
4,0.8799587362678749,0.6146808972212915,-0.8794540505771709,1.568619543744906,-2.0942173566075257,"[1.         0.99998347 0.99993395 0.99985102 0.99973468 0.99959859
 0.99942939 0.99923546 0.99901014 0.99876683 0.99850279 0.99823172
 0.99794174 0.99763059 0.9973138  0.99700222 0.99666983 0.99634864
 0.99602595 0.99571165]","[  0.          10.71316147  21.42593504  32.13772336  42.84748085
  53.54937246  64.24312699  74.9215984   85.58143635  96.20937837
 106.79698363 117.32585795 127.78921619 138.17423207 148.45604346
 158.61052329 168.63366911 178.48639157 188.15424186 197.60879179]"
5,0.544612245340888,0.6658667104875304,0.5223785691645304,-0.08346438156618685,-3.935230418707155,"[1.         1.00009708 1.00039007 1.00088438 1.00158954 1.0025199
 1.00369628 1.00514794 1.00688729 1.00901189 1.01159712 1.01478668
 1.01889219 1.02456382 1.03556495 1.0407785  1.04016446 1.03951295
 1.03905758 1.0380142 ]","[ 0.          6.62006846 13.17739683 19.60789814 25.84463393 31.81600115
 37.44318837 42.63671589 47.30374582 51.29979916 54.45934404 56.53813272
 57.11518792 55.29977151 46.72910605 42.17595035 43.39279139 44.3110204
 44.58218744 45.25640366]"
6,0.5801519432222478,1.6754985025262061,-1.192772487092232,2.1031229651554666,-3.2771806668141483,"[1.         1.00004453 1.00017834 1.00040186 1.00071593 1.00111546
 1.00160777 1.0021909  1.00286565 1.00363302 1.00449434 1.00545124
 1.00650444 1.00765827 1.00891501 1.01027837 1.01175287 1.01334407
 1.0150587  1.01691205]","[ 0.          7.05742584 14.08038984 21.03434361 27.88455583 34.59711039
 41.1355485  47.46536882 53.55053192 59.35462154 64.84048772 69.97006134
 74.70677184 79.00673318 82.82940983 86.13088524 88.86483596 90.98202203
 92.42963452 93.14541508]"
7,0.9752018092779906,1.2568054360869279,3.9721202158328435,2.8417007965400627,-2.975737541339168,"[1.         0.99999376 0.99997499 0.99994349 0.99989881 0.999841
 0.99978304 0.99970858 0.99962542 0.99953486 0.99943852 0.99931595
 0.99919882 0.99907481 0.9989641  0.99884044 0.99871703 0.99856889
 0.99843418 0.998326  ]","[  0.          11.8705994   23.72813548  35.55942677  47.35106641
  59.08924205  70.75684042  82.34159852  93.82604105 105.19293768
 116.42405442 127.50739905 138.4134219  149.12546886 159.61523461
 169.86935747 179.86022509 189.57169942 198.96641181 208.01588082]"
8,1.2166449111249715,0.9301314483098118,3.1135841590693527,-3.7138143326755912,1.8623748822253425,"[1.         0.99998687 0.9999477  0.99988313 0.99979429 0.99967886
 0.99954224 0.99938433 0.99920674 0.99901394 0.99880483 0.9985832
 0.99835178 0.99811    0.99786501 0.99761769 0.99737439 0.9971334
 0.99689982 0.99667132]","[  0.          14.80649955  29.57838465  44.28095617  58.87935288
  73.34447795  87.63794618 101.72963856 115.58863852 129.18640977
 142.47887439 155.45748804 168.08822926 180.35645477 192.22704823
 203.68543398 214.70168984 225.27501249 235.38415644 245.03651101]"
9,0.6603960540853675,0.7323790470342451,1.5848555647399571,2.577375469487575,-0.1984361980054512,"[1.         0.99993084 0.99972275 0.99937922 0.99889831 0.99828283
 0.99752718 0.99663905 0.99562292 0.99447269 0.99318117 0.99176737
 0.99021066 0.98852903 0.98671242 0.98476951 0.98263703 0.98038875
 0.97798969 0.97544144]","[  0.           8.04407545  16.11191856  24.22521286  32.4050702
  40.66828473  49.03380358  57.50813367  66.0937264   74.79851641
  83.62967643  92.55976853 101.60250242 110.71939263 119.90267683
 129.11369131 138.41744384 147.66750559 156.87359341 165.98691854]"
