,$\mu$,$\lambda$,"$
u_1$","$
u_2$","$
u_3$",$k$,$M$
0,1.035721779572675,1.8198046011545812,-6.924254291408886,2.3366934464299094,0.3911727547680268,"[1.         0.99978834 0.9991521  0.99808925 0.99659376 0.99465908
 0.99227926 0.9894425  0.98613963 0.98236007 0.97809492 0.97333279
 0.96806446 0.96228344 0.95598322 0.94915942 0.94180943 0.93392283
 0.925511   0.91657031]","[  0.          25.24380725  50.63468718  76.31584814 102.42276014
 129.07905305 156.38852334 184.43894922 213.28723239 242.95955994
 273.43777746 304.67781089 336.58115128 369.00386968 401.76061606
 434.62438996 467.33297062 499.62255249 531.15360069 561.6229874 ]"
1,0.6892426786999182,1.108793155156652,-6.443378277601897,1.1864907089145893,-2.226697538073442,"[1.         1.0000418  1.00016782 1.00037682 1.00067136 1.00105215
 1.00152117 1.00208128 1.00273656 1.00349263 1.00436204 1.0053452
 1.00646063 1.00772331 1.00915343 1.01077286 1.01261079 1.01469865
 1.01706384 1.0197176 ]","[  0.          16.76445752  33.41948692  49.85441444  65.9542482
  81.59889883  96.66019305 110.99917715 124.46262472 136.87861826
 148.03340864 157.71842868 165.64618615 171.47962816 174.7936479
 175.0291006  171.4362752  162.91758036 147.74899879 122.85606529]"
2,0.9110725043223484,1.2271666632699727,-6.727452607139689,-4.09263819540265,-2.5619161999213973,"[1.         1.00024144 1.00097067 1.00220805 1.00399667 1.00639344
 1.00951522 1.01353568 1.018818   1.02618739 1.03893116 1.05107614
 1.04741585 1.04747363 1.04747363 1.04747399 1.0474746  1.04747386
 1.04695351 1.04698239]","[ 0.00000000e+00  2.21312036e+01  4.39427020e+01  6.51020962e+01
  8.52512240e+01  1.03978322e+02  1.20790114e+02  1.35025032e+02
  1.45688118e+02  1.50854781e+02  1.43936319e+02  1.29429204e+02
  1.36700150e+02  8.79914085e+01  1.10641955e+01  1.00465862e+02
 -6.39955666e+03  3.23174121e+01  4.08639307e+01 -1.86278807e+05]"
3,0.45589327243897193,0.44505563457779834,1.049375132968617,2.619128139786997,0.8540002247916654,"[1.         0.99945425 0.99781487 0.99506539 0.99114409 0.98593016
 0.97901144 0.96982398 0.9562447  0.92810295 0.9279585  0.92508023
 0.92508023 0.92508025 0.92508025 0.92506729 0.92506729 0.92498721
 0.92498721 0.92498721]","[   0.           11.15635165   22.61088046   34.50151983   46.7183299
   58.82532243   70.1245805    78.94807083   81.54811213   59.34040734
  -26.84978685  -42.23603582  -34.73509852  -38.02067613 8138.5512798
  -19.53282152  -41.47936928  -38.97055413  -16.92113212  -56.19850003]"
4,0.8631980371903512,1.4365275495960663,-1.1987404869313387,-1.3204307372817015,-3.2228709067282284,"[1.         1.0001776  1.00071548 1.00162942 1.00294738 1.00471286
 1.00699004 1.00983155 1.01342719 1.01797556 1.02386501 1.03197757
 1.04508234 1.06426709 1.06214938 1.05994055 1.05754101 1.0550624
 1.05238353 1.04950591]","[  0.          20.97365585  41.67805305  61.83751265  81.16261943
  99.34064962 116.02196802 130.81818535 143.20866112 152.53463961
 157.78947902 157.05924975 144.82537212 115.21773365 117.45047386
 118.07775203 117.18606321 114.4404996  109.99892043 103.77435431]"
5,1.4618463632543213,0.5378047188808741,0.36924489383591386,2.0673394116246557,0.048754574975708564,"[1.         0.99965978 0.99867806 0.9971302  0.99506742 0.99252165
 0.98949975 0.9859918  0.98197573 0.97745757 0.97239605 0.96677443
 0.96056367 0.95373574 0.94625927 0.93810682 0.92924803 0.91962933
 0.9092155  0.89795222]","[   0.           35.84878299   73.08838171  112.64562844  155.01823126
  200.4147102   248.91951466  300.56833607  355.37226645  413.08001633
  473.6646027   536.859631    602.40496793  669.94573816  739.05597525
  809.17578483  879.65663261  949.91006456 1019.07428173 1086.22835271]"
6,0.7482380128356849,1.7691608417575861,-6.83929951076192,-1.6943613875354346,-0.44424718123664775,"[1.         0.99997042 0.999882   0.99973575 0.99953334 0.99927717
 0.99897035 0.99861677 0.99822113 0.99778901 0.99732695 0.99684248
 0.99634431 0.99584232 0.9953478  0.99487353 0.99441336 0.99402509
 0.99370735 0.9934805 ]","[  0.          18.21514343  36.406331    54.54914807  72.61826027
  90.58694818 108.42663598 126.10641235 143.5925422  160.84796935
 177.83181032 194.49883875 210.79896635 226.6767192  242.07071934
 256.91317811 271.11640547 284.61115389 297.30267728 309.09300642]"
7,0.9133903054316406,0.8868080376716891,-1.7356222797168614,-2.425248452231611,-3.9016458798219724,"[1.         1.00031792 1.00128308 1.00293487 1.00535068 1.00866855
 1.01313734 1.01929215 1.02864039 1.04958468 1.04804277 1.04640016
 1.04467211 1.04254764 1.04051141 1.03827594 1.03838169 1.03838173
 1.03838173 1.03838173]","[     0.             22.1771577      43.96931818     64.96614563
     84.69980806    102.58613226    117.81235454    129.02656456
    133.0186696     113.15579843    125.35026413    137.03611657
    148.01435257    158.75917428    167.93357951    175.60261245
    172.15886188    135.60738587 -20375.18789953     70.36645725]"
8,0.3631486581303328,1.2714366989234214,5.505224079183787,2.1241611566094454,0.12245435688309314,"[1.         0.99978385 0.99913615 0.99805423 0.99653619 0.99457015
 0.99215404 0.98928635 0.98593777 0.98210011 0.9777635  0.97287563
 0.96743355 0.96137951 0.95467058 0.9471204  0.93873162 0.9292458
 0.91822656 0.90072984]","[  0.           8.84495107  17.70400398  26.58739388  35.49715062
  44.42658954  53.34991092  62.22077417  70.97968923  79.53060725
  87.74120129  95.45764115 102.44567812 108.42631432 113.01117097
 115.71035666 115.68285581 111.61625141 100.56130018  79.1486142 ]"
9,1.1896661088232758,0.34905576038753244,-0.0510585893184583,-2.7093645757816907,1.0149320967737863,"[1.         1.00018431 1.00058145 1.00097214 1.00132494 1.00163769
 1.00189934 1.0021435  1.0023655  1.00258811 1.00281503 1.00306739
 1.00335741 1.0037011  1.00411553 1.00461882 1.00523003 1.00596897
 1.00683795 1.00789033]","[  0.          28.73547205  56.41273946  82.79820098 107.83130164
 131.47019892 153.74606823 174.56479768 193.98235182 211.8788243
 228.34707337 243.32552295 256.82004177 268.82698844 279.34508987
 288.37592291 295.92485216 302.00229097 306.70038601 309.8979219 ]"
